card_select.avail_basic	此角色可使用基本角色卡來創造
pli_egoweaponabilityframe.2	ego Point 分配未被套用.\n要進行套用嗎?
pli_egoweaponabilityframe.3	<color=5>{0}</color> Point分配完成.\n確定要這樣進行套用嗎?
pli_egoweaponabilityframe.4	提醒
pli_egoweaponabilityframe.5	所有效果進行初始化.\n初始化費用<color=2>{0} Gold</color>
pli_egoweaponabilityframe.6	提醒
pli_egoweaponabilityframe.7	銀行交易
pli_egoweaponabilitypanel.1	{0}/{1}
pli_egoweaponabilitypanel.2	<color=3>最大等級</color>\n\n
pli_egoweaponabilitypanel.3	等級{0}\n\n
pli_egoweaponabilitypanel.4	目前效果\n
pli_egoweaponabilitypanel.5	升級時效果\n
pli_egoweaponabilitypanel.6	所需Point {0}
pli_egoweaponabilitypanel.7	啟用{0}/{1}\n
pli_egoweaponactionbarview.1	Ego Weapon Incarnate\n經典精靈武器實體化
pli_egoweaponactionbarview.2	<color=3>使用實體化能量</color>\n使用經典精靈武器攻擊對方時,可獲得實體化能量.100/100時,使用次數會充電一次.使用次數1次以上時,才能使用技能.如果使用技能,能量值會變成100,變成0為止可使用自己想要使用的技能.\n\n<color=3>重複使用時間限定</color>\n使用技能時,能量值會變成透明,能量值啟動前,無法使用實體化技能.
pli_egoweaponcontractitemframe.1	和新的精靈契約.\n請依照欄位放置材料.
pli_egoweaponcontractitemframe.2	經典精靈武器轉換為新精靈武器.\n請依照欄位放置材料.
pli_egoweaponcontractitemframe.3	精靈移轉為新武器.\n請依照欄位放置材料.
pli_egoweaponcontractitemframe.4	銷毀和精靈的契約.\n請依照欄位放置材料.
pli_egoweaponcontractitemframe.5	角色轉換
pli_egoweaponcontractitemframe.6	進行精靈武器形象變換.\n請依照欄位放置材料.
pli_egoweaponcontractview.1	未知的錯誤
pli_egoweaponcontractview.2	持有相同形象的的武器.
pli_egoweapondescframe.1	<bold>{0} [實體化 {1}]</bold>
pli_egoweapondescframe.2	<bold>{0} [實體化 {1}]</bold>
pli_egoweapondescframe.3	<ttflocal size=14><color=4>攻擊力強化\n</color><ttflocal size=12>
pli_egoweapondescframe.4	<ttflocal size=14><color=4>專用強化\n</color><ttflocal size=12>
pli_egoweapondescframe.5	<ttflocal size=14><color=4>實體化技能強化\n</color><ttflocal size=12>
pli_egoweapondescframe.6	可消耗Point強化精靈.
pli_egoweaponfeedframe.1	Lv. %d exp %.2f%%
pli_egoweaponfeedframe.2	<color=5>{0}</color>\n為精靈喜歡的寶石.\n精靈攝取喜歡的寶石時,就可獲得經驗值獎勵.
pli_egoweaponfeedframe.3	Lv. %d exp %.2f%%
pli_egoweaponfeedframe.4	Lv. %d exp %.2f%% (+%.2f%%)
pli_egoweaponfeedframe.5	Lv. %d exp %.2f%%
pli_egoweaponfeedframe.6	({0}個的道具選擇中)
pli_egoweaponfeedframe.7	確定要給{0}{1}個的道具嗎?
pli_egoweaponfeedframe.8	<color=5>(發放道具時,只會套用升級所需要的經驗值.)</color>
pli_egoweaponfeedframe.9	<color=5>(發放道具時, 就會超過每週經驗值.)</color>
pli_egoweaponfeedframe.10	<color=5>(因達成最高等級,不會獲得經驗值.)</color>
pli_egoweaponfeedframe.11	<color=5>(因超過每週經驗值,不會獲得經驗值.)</color>
pli_egoweaponfeedframe.12	(此為異常情況.)
pli_egoweaponfeedframe.13	提醒
pli_egoweaponfeedframe.14	持有的寶石可依照種類,大小來選擇瀏覽.
pli_egoweaponfeedframe.15	持有的道具可依照種類來選擇瀏覽.
pli_egoweaponfeedframe.16	目前互動度Bonus Point : {0}\n<color=5>最大互動度Bonus Point : {1}</color>
pli_egoweaponfeedframe.17	<color=5>(沒有可獲得的經驗值.)</color>
pli_egoweaponfeedframe.18	喜好寶石
pli_egoweaponfoodframe.1	提醒
pli_egoweaponfoodframe.2	道具最多可選擇{0}個.
pli_egoweaponfoodframe.3	提醒
pli_egoweaponfoodframe.4	已選擇強化的道具.\n要繼續嗎?
pli_egoweaponfoodframe.5	精靈飼料分配
pli_egoweaponinfoframe.1	{0}的{1}
pli_egoweaponinfoframe.2	{0}/100
pli_egoweaponinfoframe.3	目前經驗值: {0}\n下一個等級 : {1}\n每週({2}/{3})
pli_egoweaponinfoframe.4	經驗值獎勵 %.2f倍
pli_egoweaponinfoframe.5	{0}等級達成時{1}Point額外獲得
pli_egoweaponinfoframe.6	Lv. {0}
pli_egoweaponinfoframe.7	{0}/{1}
pli_egoweaponinfoframe.8	{0}/100
pli_egoweaponmainmaterialpanel.1	請放置精靈武器.
pli_egoweaponmainmaterialpanel.2	請放置要進行精靈契約的武器.
pli_egoweaponmainmaterialpanel.3	請放置要移動精靈的武器.
pli_egoweaponmainmaterialpanel.4	為無法進行精靈契約的武器.
pli_egoweaponmainmaterialpanel.5	為無法移動精靈的武器.
pli_egoweaponmainmaterialpanel.6	已為簽訂精靈契約的武器.
pli_egoweaponmainmaterialpanel.7	已持有相同種類的精靈武器.
pli_egoweaponmainmaterialpanel.8	請放置經典精靈武器.
pli_egoweaponmainmaterialpanel.9	為無法進行精靈轉換的武器.
pli_egoweaponmainmaterialpanel.10	為無法銷毀契約的武器.
pli_egoweaponmainmaterialpanel.11	為無法進行形象變換的武器.
pli_egoweaponmainmaterialpanel.12	已持有相同種類的經典精靈武器.
pli_egoweaponmainview.1	提醒
pli_egoweaponmainview.2	沒有持有的[精靈武器].\n透過貝瑞克希德,可和精靈進行契約.
pli_egoweaponmanageframe.1	和新精靈契約.\n請依照欄位放置契約所需要的材料.\n\n- 武器欄位 :要進行精靈契約的武器\n- 材料欄位 : 自然力消除5個, 附有魔法力量的精靈石1個
pli_egoweaponmanageframe.2	精靈移轉為新武器.\n請依照欄位放置移轉所需要的材料.\n\n[經典精靈武器]\n- 武器欄位 : 經典精靈武器\n- 材料欄位 : 自然力消除5個, 附有魔法力量的精靈石1個,精靈的白葡萄酒1個\n\n[精靈武器移轉]\n- 武器欄位 : 使用中的精靈武器, 要移轉的武器\n- 材料欄位 : 自然力消除5個,精靈的白葡萄酒1個
pli_egoweaponmanageframe.3	銷毀和精靈的契約.\n請依照欄位放置銷毀契約所需要的材料.\n\n- 武器欄位 : 使用中的精靈武器\n- 材料欄位 : 自然力消除5個,記憶精靈的白葡萄酒1個, 空缺的精靈石1個
pli_egoweaponmanageframe.4	角色變更
pli_egoweaponmanageframe.5	變更精靈武器效果.\n請依照欄位放置效果變更所需要的材料.\n\n- 武器欄位 : 使用中的精靈武器\n- 材料欄位 :精靈形象變換藥水1個
pli_egoweaponmanageframe.6	- 可和新精靈進行契約.\n\n-精靈武器最多可持有3個.\n\n- 相同類型的武器無法進行2個以上的契約.\n\n- 完成契約的精靈武器隸屬於契約者.\n\n- 被隸屬的精靈武器無法交易.\n\n- 銷毀契約時,就會取消隸屬.
pli_egoweaponmanageframe.7	-可將精靈移轉至其它武器.\n\n-就算移轉精靈,精靈的成長狀態或是武器都不會發生損失.\n\n-要移轉精靈的武器和目前精靈武器類型無關可進行選擇.\n\n- 如果有套用1 ego Point 以上效果時,無法移轉.\n\n- 必須將套用的效果初始化後,才可進行精靈移轉.\n\n- 經典精靈武器必須要轉換成精靈武器才可以移轉
pli_egoweaponmanageframe.8	- 武器沒有損失下,能銷毀和精靈的契約.\n\n- 銷毀契約時,可獲得[裝有記憶的精靈石].\n\n- [裝有記憶的精靈石]在其它精靈繼承記憶時,可以使用.\n\n-依照精靈的成長程度,[裝有記憶的精靈石]所包含的經驗值量也會不同.
pli_egoweaponmanageframe.9	角色變更說明
pli_egoweaponmanageframe.10	-可變更精靈武器效果.\n\n- 就算變更效果,精靈武器的性能也不會改變.
pli_egoweaponmanageframe.11	精靈是和你一起在愛爾琳旅行的朋友兼夥伴.\n\n在戰鬥或者暫時休息的時候,也試著和精靈一同行動吧.\n\n和你相處的時間越長,就會累積和精靈的互動度,\n\n和精靈的互動度累積越多,精靈就能成長得更強.\n\n精靈的成長即是讓附著精靈的武器成長.
pli_egoweaponmanageframe.12	請放置所需的材料道具.
pli_egoweaponmanageframe.13	請放置精靈武器.
pli_egoweaponmanageframe.14	套用1Point以上效果的精靈\n無法移轉.\n初始化效果後,可進行移轉.
pli_egoweaponmanageframe.15	提醒
pli_egoweaponmanageframe.16	精靈名稱 : {0}\n武器 : {1}\n確定要進行契約嗎?
pli_egoweaponmanageframe.17	精靈名稱 : {0}\n武器 : {1}\n經典精靈武器轉換為精靈武器.\n要進行轉換嗎??
pli_egoweaponmanageframe.18	精靈名稱 : {0}\n武器 : {1}\n確定要銷毀契約嗎?\n<color=5>{2}等級<color>的記憶被保存.
pli_egoweaponmanageframe.19	開始所選擇的武器的形象變換.\n確定要進行形象變換嗎?
pli_egoweaponmanageframe.20	所選擇的武器的精靈角色變更.\n確定要進行變更嗎?
pli_egoweaponmanageframe.21	提醒
pli_egoweaponmanageframe.22	{0} -> {1}\n確定要進行移轉嗎?
pli_egoweaponmanageframe.23	精靈名稱 : {0}\n武器 : {1}\n確定要這樣銷毀契約嗎?
pli_egoweaponmemorystoneview.1	精靈等級50以上無法使用.
pli_egoweaponmessageview.1	關閉
pli_egoweaponmessageview.2	確認
pli_egoweaponmessageview.3	取消
pli_egoweapontalkframe.1	關於
pli_egoweapontalkframe.2	關於{0}
pli_egoweapontalkframe.3	告訴我{0}
pli_eldachievementframe.1	{0}分
pli_eldachievementtab.1	分數\n ({0})
pli_eldrankingframe.1	沒有排行資訊.
pli_eldrankingframe.2	找不到角色.
pli_eldrankingframe.3	取得排行資訊中...
pli_eldrankingframe.4	期間
pli_eldrankingframe.5	此為格式不正確的名字.
pli_eldrankingframe.6	錯誤
pli_eldrankingframe.7	最近排行更新
pli_electioneventview.1	정말로 [{0}]에 투표하시겠습니까?
pli_enchantentrustview.1	階段
pli_ensembleplaypartymainview.1	需要合唱動作.
pli_ensembleplaypartymainview.2	需要合奏動作.
pli_ensembleplaypartymainview.3	需要樂器.
pli_ensembleplaypartymainview.4	委任隊長
pli_ensembleplaypartymainview.5	此為只有隊長可使用的功能.
pli_ensembleplaypartymainview.6	此為只有隊長可使用的功能.
pli_ensembleplaypartymainview.7	合奏中
pli_ensembleplaypartymainview.8	(隊長)
pli_entryeventview.1	獲得緞帶總數 : {0}個
pli_entryeventview.2	我所輸入的邀請代碼 : {0}
pli_entryeventview.3	邀請代碼輸入欄
pli_entryeventview.4	新增或回歸玩家才可以輸入邀請代碼.
pli_entryeventview.5	我的邀請代碼 : {0}@{1}
pli_entryview.1	精靈{0}
pli_entryview.2	寵物{0}
pli_entryview.3	沒有持有的[精靈武器].\n透過貝瑞克希德,可和精靈進行契約.
pli_entryview.4	智能系統 {0}
pli_entryview.5	地下城嚮導
pli_equipmentcollectiontab.1	Loading中...
pli_equipmentcollectiontab.2	造型沙龍Loading中.
pli_ergenhancemainview.1	在武器上注入聚能後獲得聚能經驗值\n或是可以開放聚能最大等級.\n請將要注入聚能的武器放到欄位中.
pli_ergenhancemainview.2	[注入聚能]
pli_ergenhancemainview.3	可以抽出相同種類武器的聚能後注入在對象中.\n請在必需材料欄位中放上與該武器相同種類的武器.\n將武器或是特殊道具當作額外材料放入後可獲得多樣的額外效果.
pli_ergenhancemainview.4	[聚能最大等級開放]
pli_ergenhancemainview.5	一次注入符合條件的道具6種類聚能\n可以提升武器的聚能最大等級.\n滑鼠移到材料欄位上可確認具體條件.
pli_ergenhancemainview.6	請放上要注入聚能的武器.
pli_ergenhancemainview.7	請放上和要注入聚能的武器相同種類的武器.
pli_ergenhancemainview.8	請放上武器或是特殊道具.
pli_ergenhancemainview.9	成功率 : {0} %
pli_ergenhancemainview.10	{0} 效果發動
pli_ergenhancemainview.13	因有錯誤材料而無法注入.
pli_ergenhancemainview.14	材料不足, 無法開放最大等級.
pli_ergenhancemainview.15	{0} ({1}個)
pli_ergenhancemainview.16	注入
pli_ergenhancemainview.17	開放
pli_ergenhancemainview.18	填滿
pli_ergenhancemainview.19	放到道具欄位上失敗了.
pli_ergenhancemainview.20	注入聚能失敗.
pli_ergenhancemainview.21	聚能開放失敗.
pli_ergenhancetransferview.1	請放上欲抽出聚能的武器.
pli_ergenhancetransferview.2	請放上欲聚能移轉的對象武器.
pli_ergenhancetransferview.3	移轉
pli_ergenhancetransferview.4	材料不足無法進行聚能移轉.
pli_ergenhancetransferview.5	使用{0}\n <color=2><outlinecolor=3>{1}</outlinecolor></color>的聚能移轉至 \n<color=2><outlinecolor=3>{2}</outlinecolor></color>.
pli_ergenhancetransferview.6	{0}的聚能已移轉至{1}.
pli_ergenhancetransferview.7	聚能移轉失敗.請再試一次.
pli_erinnlandprizeroulette.1	獎品輪盤硬幣不足.
pli_erinnlandshootinggame.1	結果
pli_erinnlandshootinggame.2	<我所瞄準的目標數>\n一般目標 : {0}\n高分目標 : {1} 
pli_erinnlandwaitingtable.1	回應時間逾時
pli_erinnlandwaitingtable.2	{0} 取消排隊.\n從排隊隊伍中被移除.
pli_erinnlandwaitingtable.3	{0}{} 開始!\n請按下開始按鍵.
pli_erinnlandwaitingtable.4	{0} 取消開始.\n從排隊隊伍中被排除.\n暫時無法登錄排隊隊伍.
pli_erinnlandwaitingtable.5	{0}的回應時間逾時.\n從排隊隊伍中被排除.
pli_erinnlandwaitingtable.6	{0}{} 無法開始.\n已重新被登錄排隊隊伍.
pli_erinnlandwaitingtableframe.1	順位
pli_erinnlandwaitingtableframe.2	等待中
pli_erinnlandwaitingtableframe.3	秒
pli_eventingamepopupview.1	關閉
pli_eventingamepopupview.2	<color=2>지원금 받기</color>
pli_eventpopupbuttonlistview.1	動物角色無法參與活動.
pli_eventpopupbuttonlistview.2	這裡的累積上線時間活動時間不會流逝.
pli_eventpopupbuttonlistview.3	此處無法使用.
pli_eventpopupview.1	告知
pli_eventpopupview.2	商城
pli_eventpopupview.3	隱藏
pli_eventpopupview.4	關閉
pli_eventpopupview.5	하루
pli_eventpopupview.6	일주일
pli_eventpopupview.7	하루
pli_eventpopupview.8	일주일
pli_expiretimeextendview.1	目前所持有的美容幣: {0}美容幣
pli_expiretimeextendview.2	道具有效期限增加
pli_expiretimeextendview.3	+7日\n{0}美容幣
pli_expiretimeextendview.4	+30日\n{0}美容專用硬幣
pli_expiretimeextendview.5	+90日\n{0}美容專用硬幣
pli_expiretimeextendview.6	美容幣不足
pli_expiretimeextendview.7	{0} : 有效期限增加{1}日但是{2}美容幣卻不夠.\n請問要儲值嗎?
pli_expiretimeextendview.8	確認
pli_expiretimeextendview.9	取消
pli_expiretimeextendview.10	道具有效期限增加
pli_expiretimeextendview.11	{0} : 要增加有效期限到{1}日嗎?
pli_expiretimeextendview.12	確認
pli_expiretimeextendview.13	取消
pli_expiretimeextendview.14	{0}日 {1}美容專用硬幣
pli_expiretimeextendview.15	延長期限
pli_eyerestoreview.1	目前套用中的眼睛顏色跟風格\n將變更為保管中的眼睛顏色跟風格.\n\n要將現在的眼睛變更為保管中的眼睛嗎?
pli_eyerestoreview.2	無法套用到目前種族的眼睛.
pli_facilitycontextmenuview.1	施設物選項
pli_facilitycontextmenuview.2	可以設定拜訪者權限.
pli_facilitycontextmenuview.3	可以設定使用權限.
pli_facilitycontextmenuview.4	設施會完全消失且無法復原.\n要繼續嗎?
pli_facilitycontextmenuview.5	移除該設施物的話就會轉換成背包內的工具.請問真的要移除嗎?
pli_facilitycontextmenuview.6	要移除該設施物的話需要消耗{0}個的農場石,並轉換成設施物的道具.\n使用設施物道具的話就可以再次設置設施物.\n請問真的要移除嗎?
pli_facilityinfoview.1	剩餘時間 :
pli_facilityinfoview.2	{0} chick
pli_facilityinfoview.3	無法升級寵物正在裡面休息中的小屋.\n請先完成寵物休息,或直接中斷.
pli_facilityinfoview.4	提示
pli_facilitylistview.1	用美容專用硬幣進行設施設置
pli_facilitylistview.2	<color=2><outlinecolor=3>(特價中)</outlinecolor></color>
pli_facilitylistview.3	<color=2><outlinecolor=3>(설치시간 감소)</outlinecolor></color>
pli_facilitylistview.4	契約到期: {0}
pli_facilitylistview.5	契約到期
pli_facilitylistview.6	為帳篷或圓屋頂的小屋時, 要擴張房屋才可進入.
pli_facilitylistview.7	要簽約嗎?\n 會消耗{0} Gold.
pli_facilitylistview.8	銀行交易
pli_facilitylistview.9	要延長契約嗎?\n 會消耗{0} Gold.
pli_facilitylistview.10	銀行交易
pli_facilitylistview.11	在農場中有2棟以上房子時無法簽約.
pli_facilitylistview.12	寵物小屋升級
pli_familycontrolview.1	{0} 家譜
pli_familycontrolview.2	家規 : {0}
pli_familycontrolview.3	沒有家規
pli_familycontrolview.4	不屬於家庭. 請先建立家庭.
pli_familycontrolview.5	請向錫妮購買領養權力證明書, 就可領養子女了.
pli_familycontrolview.6	想要迎接新的家人, 請先詢問家長唷.
pli_familycontrolview.7	想要迎接配偶需要重新組織家庭.
pli_familycontrolview.8	家庭點數 : {0}
pli_familycontrolview.9	家庭點數 : {0}
pli_familycontrolview.10	從家庭小幫手購買領養權力證明書之後,就可以領養少女.
pli_familycontrolview.11	想要迎接配偶就必須要結婚.
pli_familymemberpopupview.1	家庭
pli_familymemberpopupview.2	增加家庭成員
